Interaction ID,Customer ID,Category
INT300001,US00015000,Profile Update
INT300002,US00015000,Payment Arrangement
INT300003,US00015000,Payment Extension
INT300004,US00015000,Low Income Program Request
INT300005,US00015000,Meter Read Reported
INT300006,US00015000,Transfer of Service
INT300007,US00015000,Transfer of Service
INT300008,US00015000,Move-In
INT300009,US00015000,Low Income Program Request
INT300010,US00015000,Payment Arrangement
INT300011,US00015000,Profile Update
INT300012,US00015000,Low Income Program Request
INT300013,US00015001,Bill Correction
INT300014,US00015001,Medical Certificate
INT300015,US00015001,Payment Arrangement
INT300016,US00015001,Budget Billing Enrollment
INT300017,US00015001,Service Order Reschedule
INT300018,US00015001,Payment Extension
INT300019,US00015001,Payment Extension
INT300020,US00015001,Payment Arrangement
INT300021,US00015001,Transfer of Service
INT300022,US00015001,Transfer of Service
INT300023,US00015001,Medical Certificate
INT300024,US00015001,Budget Billing Enrollment
INT300025,US00015001,Payment Extension
INT300026,US00015001,Medical Certificate
INT300027,US00015002,Transfer of Service
INT300028,US00015002,Low Income Program Request
INT300029,US00015002,Profile Update
INT300030,US00015002,Low Income Program Request
INT300031,US00015002,Medical Certificate
INT300032,US00015002,Service Order Reschedule
INT300033,US00015002,Transfer of Service
INT300034,US00015002,High Bill
INT300035,US00015002,Budget Billing Enrollment
INT300036,US00015002,Meter Read Reported
INT300037,US00015003,Rebate Request
INT300038,US00015003,Switch Supplier
INT300039,US00015003,Payment Extension
INT300040,US00015003,Rebate Request
INT300041,US00015003,Rebate Request
INT300042,US00015003,Move-In
INT300043,US00015003,Low Income Program Request
INT300044,US00015003,Service Order Reschedule
INT300045,US00015003,Service Order Request
INT300046,US00015003,Meter Read Reported
INT300047,US00015003,Move-In
INT300048,US00015004,Transfer of Service
INT300049,US00015004,Rebate Request
INT300050,US00015004,Service Order Request
INT300051,US00015004,Payment Arrangement
INT300052,US00015004,Payment Arrangement
INT300053,US00015004,Service Order Reschedule
INT300054,US00015004,Payment Arrangement
INT300055,US00015004,Service Order Request
INT300056,US00015005,Switch Supplier
INT300057,US00015005,Service Order Request
INT300058,US00015005,Budget Billing Enrollment
INT300059,US00015005,Meter Read Reported
INT300060,US00015005,Rebate Request
INT300061,US00015005,Payment Extension
INT300062,US00015005,Low Income Program Request
INT300063,US00015005,High Bill
INT300064,US00015005,Medical Certificate
INT300065,US00015005,Payment Arrangement
INT300066,US00015005,Bill Correction
INT300067,US00015005,Service Order Reschedule
INT300068,US00015005,Payment Arrangement
INT300069,US00015005,Medical Certificate
INT300070,US00015005,Meter Read Reported
INT300071,US00015006,Switch Supplier
INT300072,US00015006,Profile Update
INT300073,US00015006,Budget Billing Enrollment
INT300074,US00015006,Bill Correction
INT300075,US00015006,Switch Supplier
INT300076,US00015006,Service Order Request
INT300077,US00015006,Budget Billing Enrollment
INT300078,US00015006,Transfer of Service
INT300079,US00015007,Low Income Program Request
INT300080,US00015007,Payment Arrangement
INT300081,US00015007,Payment Extension
INT300082,US00015007,Profile Update
INT300083,US00015007,Transfer of Service
INT300084,US00015007,Rebate Request
INT300085,US00015007,Meter Read Reported
INT300086,US00015007,Payment Arrangement
INT300087,US00015007,Switch Supplier
INT300088,US00015007,Transfer of Service
INT300089,US00015007,Switch Supplier
INT300090,US00015008,Payment Arrangement
INT300091,US00015008,Service Order Reschedule
INT300092,US00015008,Meter Read Reported
INT300093,US00015008,High Bill
INT300094,US00015008,Profile Update
INT300095,US00015008,Switch Supplier
INT300096,US00015008,Service Order Request
INT300097,US00015009,Move-In
INT300098,US00015009,Service Order Request
INT300099,US00015009,Service Order Request
INT300100,US00015009,Transfer of Service
INT300101,US00015009,Profile Update
INT300102,US00015009,Meter Read Reported
INT300103,US00015009,Low Income Program Request
INT300104,US00015009,Bill Correction
INT300105,US00015009,Profile Update
INT300106,US00015009,Profile Update
INT300107,US00015009,Payment Arrangement
INT300108,US00015010,Budget Billing Enrollment
INT300109,US00015010,Profile Update
INT300110,US00015010,Move-In
INT300111,US00015010,Medical Certificate
INT300112,US00015010,Low Income Program Request
INT300113,US00015010,Transfer of Service
INT300114,US00015010,Move-In
INT300115,US00015010,High Bill
INT300116,US00015010,Service Order Reschedule
INT300117,US00015010,Meter Read Reported
INT300118,US00015010,Bill Correction
INT300119,US00015011,Profile Update
INT300120,US00015011,Low Income Program Request
INT300121,US00015011,Medical Certificate
INT300122,US00015011,Transfer of Service
INT300123,US00015011,Profile Update
INT300124,US00015011,Service Order Request
INT300125,US00015011,Switch Supplier
INT300126,US00015011,Rebate Request
INT300127,US00015011,Rebate Request
INT300128,US00015012,Payment Extension
INT300129,US00015012,Transfer of Service
INT300130,US00015012,Switch Supplier
INT300131,US00015012,Payment Extension
INT300132,US00015012,Rebate Request
INT300133,US00015012,Service Order Request
INT300134,US00015012,Service Order Reschedule
INT300135,US00015012,Meter Read Reported
INT300136,US00015012,Payment Arrangement
INT300137,US00015012,Transfer of Service
INT300138,US00015012,Bill Correction
INT300139,US00015012,Budget Billing Enrollment
INT300140,US00015012,Bill Correction
INT300141,US00015012,Low Income Program Request
INT300142,US00015012,Service Order Request
INT300143,US00015013,Transfer of Service
INT300144,US00015013,Profile Update
INT300145,US00015013,High Bill
INT300146,US00015013,Service Order Reschedule
INT300147,US00015013,Bill Correction
INT300148,US00015013,Bill Correction
INT300149,US00015013,Profile Update
INT300150,US00015013,High Bill
INT300151,US00015013,Move-In
INT300152,US00015013,Meter Read Reported
INT300153,US00015014,Move-In
INT300154,US00015014,Transfer of Service
INT300155,US00015014,Low Income Program Request
INT300156,US00015014,Medical Certificate
INT300157,US00015014,Medical Certificate
INT300158,US00015014,Meter Read Reported
INT300159,US00015014,Low Income Program Request
INT300160,US00015014,Budget Billing Enrollment
INT300161,US00015014,Service Order Reschedule
INT300162,US00015015,Bill Correction
INT300163,US00015015,Budget Billing Enrollment
INT300164,US00015015,Service Order Reschedule
INT300165,US00015015,Service Order Request
INT300166,US00015015,Transfer of Service
INT300167,US00015015,Move-In
INT300168,US00015015,Medical Certificate
INT300169,US00015015,High Bill
INT300170,US00015015,Payment Arrangement
INT300171,US00015015,Rebate Request
INT300172,US00015015,Payment Extension
INT300173,US00015016,Switch Supplier
INT300174,US00015016,Payment Arrangement
INT300175,US00015016,Move-In
INT300176,US00015016,Profile Update
INT300177,US00015016,Move-In
INT300178,US00015016,Rebate Request
INT300179,US00015016,Profile Update
INT300180,US00015016,Service Order Reschedule
INT300181,US00015016,Budget Billing Enrollment
INT300182,US00015016,Payment Arrangement
INT300183,US00015016,Service Order Reschedule
INT300184,US00015016,Service Order Reschedule
INT300185,US00015017,Budget Billing Enrollment
INT300186,US00015017,High Bill
INT300187,US00015017,Medical Certificate
INT300188,US00015017,Meter Read Reported
INT300189,US00015017,Medical Certificate
INT300190,US00015017,Switch Supplier
INT300191,US00015017,Payment Extension
INT300192,US00015017,Profile Update
INT300193,US00015018,Low Income Program Request
INT300194,US00015018,Payment Arrangement
INT300195,US00015018,Profile Update
INT300196,US00015018,Bill Correction
