Interaction ID,Customer ID,Channel,Happiness Score,Agent,Interaction_Count
INT300001,US00015000,Phone,Very Happy,Kate,3
INT300002,US00015000,Phone,Very Happy,Javier,3
INT300003,US00015000,Phone,Very Happy,Ashley,3
INT300004,US00015000,Email,Very Unhappy,Ashley,1
INT300005,US00015000,SMS,Very Unhappy,,1
INT300006,US00015000,Self-Service,Very Unhappy,,2
INT300007,US00015000,Self-Service,Happy,,2
INT300008,US00015000,Case,Happy,Kate,2
INT300009,US00015000,Case,Neutral,Javier,2
INT300010,US00015000,IVR,Happy,,3
INT300011,US00015000,IVR,Very Happy,,3
INT300012,US00015000,IVR,Happy,,3
INT300013,US00015001,Phone,Very Happy,Kate,3
INT300014,US00015001,Phone,Very Happy,Ashley,3
INT300015,US00015001,Phone,Very Happy,Ashley,3
INT300016,US00015001,Email,Neutral,Kate,1
INT300017,US00015001,SMS,Unhappy,,2
INT300018,US00015001,SMS,Unhappy,,2
INT300019,US00015001,Self-Service,Neutral,,2
INT300020,US00015001,Self-Service,Happy,,2
INT300021,US00015001,Case,Neutral,Javier,3
INT300022,US00015001,Case,Very Happy,Ashley,3
INT300023,US00015001,Case,Happy,Ashley,3
INT300024,US00015001,IVR,Happy,,3
INT300025,US00015001,IVR,Happy,,3
INT300026,US00015001,IVR,Happy,,3
INT300027,US00015002,Phone,Unhappy,Ashley,1
INT300028,US00015002,Email,Very Unhappy,Ashley,1
INT300029,US00015002,SMS,Neutral,,1
INT300030,US00015002,Self-Service,Very Happy,,3
INT300031,US00015002,Self-Service,Very Happy,,3
INT300032,US00015002,Self-Service,Happy,,3
INT300033,US00015002,Case,Very Happy,Javier,1
INT300034,US00015002,IVR,Unhappy,,3
INT300035,US00015002,IVR,Very Unhappy,,3
INT300036,US00015002,IVR,Happy,,3
INT300037,US00015003,Phone,Unhappy,Javier,3
INT300038,US00015003,Phone,Happy,Javier,3
INT300039,US00015003,Phone,Neutral,Ashley,3
INT300040,US00015003,Email,Very Happy,Ashley,2
INT300041,US00015003,Email,Very Happy,Kate,2
INT300042,US00015003,SMS,Happy,,2
INT300043,US00015003,SMS,Unhappy,,2
INT300044,US00015003,Self-Service,Very Happy,,1
INT300045,US00015003,Case,Happy,Kate,2
INT300046,US00015003,Case,Unhappy,Javier,2
INT300047,US00015003,IVR,Unhappy,,1
INT300048,US00015004,Phone,Very Happy,Kate,1
INT300049,US00015004,Email,Happy,Kate,3
INT300050,US00015004,Email,Happy,Javier,3
INT300051,US00015004,Email,Very Unhappy,Ashley,3
INT300052,US00015004,SMS,Happy,,1
INT300053,US00015004,Self-Service,Unhappy,,1
INT300054,US00015004,Case,Very Happy,Kate,1
INT300055,US00015004,IVR,Neutral,,1
INT300056,US00015005,Phone,Neutral,Ashley,3
INT300057,US00015005,Phone,Neutral,Kate,3
INT300058,US00015005,Phone,Unhappy,Ashley,3
INT300059,US00015005,Email,Very Happy,Javier,3
INT300060,US00015005,Email,Very Happy,Javier,3
INT300061,US00015005,Email,Unhappy,Javier,3
INT300062,US00015005,SMS,Happy,,2
INT300063,US00015005,SMS,Very Unhappy,,2
INT300064,US00015005,Self-Service,Neutral,,2
INT300065,US00015005,Self-Service,Happy,,2
INT300066,US00015005,Case,Unhappy,Javier,2
INT300067,US00015005,Case,Very Happy,Kate,2
INT300068,US00015005,IVR,Neutral,,3
INT300069,US00015005,IVR,Very Happy,,3
INT300070,US00015005,IVR,Unhappy,,3
INT300071,US00015006,Phone,Unhappy,Ashley,1
INT300072,US00015006,Email,Unhappy,Kate,1
INT300073,US00015006,SMS,Happy,,1
INT300074,US00015006,Self-Service,Very Happy,,2
INT300075,US00015006,Self-Service,Very Happy,,2
INT300076,US00015006,Case,Neutral,Kate,2
INT300077,US00015006,Case,Neutral,Ashley,2
INT300078,US00015006,IVR,Unhappy,,1
INT300079,US00015007,Phone,Unhappy,Kate,1
INT300080,US00015007,Email,Neutral,Javier,1
INT300081,US00015007,SMS,Happy,,2
INT300082,US00015007,SMS,Neutral,,2
INT300083,US00015007,Self-Service,Neutral,,1
INT300084,US00015007,Case,Neutral,Kate,3
INT300085,US00015007,Case,Unhappy,Kate,3
INT300086,US00015007,Case,Very Happy,Javier,3
INT300087,US00015007,IVR,Very Happy,,3
INT300088,US00015007,IVR,Unhappy,,3
INT300089,US00015007,IVR,Unhappy,,3
INT300090,US00015008,Phone,Unhappy,Ashley,1
INT300091,US00015008,Email,Happy,Javier,1
INT300092,US00015008,SMS,Very Happy,,1
INT300093,US00015008,Self-Service,Happy,,2
INT300094,US00015008,Self-Service,Very Happy,,2
INT300095,US00015008,Case,Neutral,Javier,1
INT300096,US00015008,IVR,Very Happy,,1
INT300097,US00015009,Phone,Very Unhappy,Kate,2
INT300098,US00015009,Phone,Very Happy,Javier,2
INT300099,US00015009,Email,Neutral,Kate,1
INT300100,US00015009,SMS,Very Happy,,2
INT300101,US00015009,SMS,Happy,,2
INT300102,US00015009,Self-Service,Very Unhappy,,3
INT300103,US00015009,Self-Service,Happy,,3
INT300104,US00015009,Self-Service,Unhappy,,3
INT300105,US00015009,Case,Neutral,Kate,2
INT300106,US00015009,Case,Happy,Ashley,2
INT300107,US00015009,IVR,Neutral,,1
INT300108,US00015010,Phone,Neutral,Kate,1
